Word1,Flag1,Word2,Flag2,MI,logDF
UGC,eng,视频,n,9.700754908998217,0.0
更多,d,新,a,3.9117212675881365,0.0
％,x,盛大,b,0.5685122526135973,0.0
至,p,3450,m,5.4510567518176485,0.0
成本,n,7510,m,6.654613127353497,0.0
以及,c,有,v,1.1823771406233263,0.0
收入,v,3177,m,6.384609166704861,0.0
没有,v,正式,ad,7.563251385248282,0.0
费用,n,5265,m,7.842110758243759,0.0
中,f,携程,n,1.754911192299085,0.0
约合,vn,1410,m,4.900890498116365,0.0
同期,b,继续,v,0.17997910207252957,0.0
窄,a,26.0,m,10.541556314148965,0.0
3.837,m,亿,m,9.402096593433702,0.0
费用,n,回归,v,6.842110758243759,0.0
F,x,报告,n,10.289328663271752,0.0
主板,n,上市,ns,12.720120233865147,0.0
良品,n,进行,v,10.662787058799198,0.0
珠海,ns,新,a,8.184739761994553,0.0
了,ul,精英,n,6.418809431576208,0.0
总计,n,3400,m,8.48352419277755,0.0
8567,m,万元,m,7.596977541704885,0.0
增,v,56.1,m,7.64186121994465,0.0
第四季度,l,出于,v,7.921845484861845,0.0
玩家,n,活动,vn,3.840868162455459,0.0
10,m,万间,m,5.361617524078632,0.0
以及,c,折旧费,n,3.5706477303393847,0.0
创下,v,六年,m,13.607645504606737,0.0
发展,vn,中国,ns,2.129950471273721,0.0
新,n,媒体,n,5.007267951498893,0.0
12.7,m,％,x,4.748421342628532,0.0
子公司,n,制,n,12.863484409036326,0.0
17.013,m,亿,m,9.402096593433702,0.0
明显,a,放大,v,12.700754908998217,0.0
亿元,m,中国,ns,-2.0908556991707754,0.0
此后,c,几个,m,12.929573599494098,0.0
为,p,9.7,m,1.1617641635530853,0.0
一系列,m,成果,n,10.759648598051786,0.0
但,c,亏损额,n,5.758709649082172,0.0
为,p,13.11,m,5.409691676996671,0.0
13.66,m,亿元,m,7.101437115299992,0.0
约合,vn,2200,m,3.6784980767799174,0.0
吸金,n,:,x,7.388961191244569,0.0
股东,n,在,p,-0.16308290349603585,0.0
126.6,m,%,x,5.10700276854393,0.0
总支出,n,净额,n,11.759648598051786,0.0
范围,n,和,c,1.0925247328860161,0.0
00,m,到,v,3.8747149501020246,0.0
的,uj,850,m,0.20009889584722554,0.0
12.47,m,%,x,5.10700276854393,0.0
增长,v,64.1,m,3.5422293699301886,0.0
为,p,4080,m,3.4096916769966716,0.0
反映,v,代理,n,6.272031839790721,0.0
因,p,季内,n,11.02268300388558,0.0
的,uj,1520,m,1.8375288164625174,0.0
约合,vn,1710,m,5.748887404671315,0.0
人民币,n,10.18,m,6.410183058146138,0.0
他,r,商标,n,11.800290582549131,0.0
子公司,n,张宏江,nr,10.541556314148965,0.0
了,ul,降价,n,6.418809431576208,0.0
为,p,18.769,m,5.409691676996671,0.0
独家,n,和,c,3.0436151324050695,0.0
行政,n,支出费用,n,8.25185395785309,0.0
排名,v,第二,m,10.630365581106819,0.0
方面,n,对,p,3.053368439202625,0.0
持有,v,8.569,m,9.958030045543326,0.0
费用,n,1584,m,7.842110758243759,0.0
个人版,n,月,m,6.088992348933346,0.0
情况,n,来看,u,7.804806063671625,0.0
收益,n,2.03,m,6.280317421976783,0.0
当然,d,这,r,8.417820945726719,0.0
4800,m,万,m,4.976013698689099,0.0
中,f,关于,p,6.070815499558678,0.0
包括,v,YouTube,eng,10.382679139606461,0.0
第三季度,mq,已经,d,1.1691135268451538,0.0
后,f,将,d,-0.8080913129918409,0.0
推出,v,四部,m,10.390414788386067,0.0
-,x,4260,m,6.2157575192596,0.0
了,ul,470,m,2.248884430133895,0.0
大致,d,持平,n,6.2198435629504685,0.0
的,uj,42.98,m,4.00745381790483,0.0
3810,m,万美元,m,3.78698785113781,0.0
至,p,93.5,m,7.151496469958741,0.0
贡献,n,不会,v,7.250093499988653,0.0
人民币,n,16.786,m,6.410183058146138,0.0
处在,v,过渡阶段,n,15.229133881353006,0.0
达到,v,3790,m,6.768126751976092,0.0
开放型,nz,互联网,n,9.882449687380072,0.0
收,n,构成,v,5.870229138669674,0.0
现有,b,ADS,eng,5.57849634118622,0.0
增长,v,1.24,m,1.5422293699301883,0.0
预计,vn,十月份,mq,9.834176576701543,0.0
与,p,营业税,n,2.38515245236027,0.0
阿里巴巴,nrt,CEO,eng,4.251413641951339,0.0
来自,v,SNS,eng,5.376904501979826,0.0
微,n,创新,v,11.952293675994182,0.0
人数,n,逾,vg,8.206766068324551,0.0
回落,v,本季度,n,3.6638120641999614,0.0
至,p,82.11,m,9.15149646995874,0.0
整体,n,手机,n,4.316705102203057,0.0
提高,v,知名度,n,8.8289112604889,0.0
印证,j,了,ul,7.418809431576208,0.0
预计,vn,购买,v,3.811808763673087,0.0
卓尔,nr,公司,n,6.455867849874683,0.0
收,n,55,m,4.375464446920096,0.0
布局,n,全球,n,6.963068147588357,0.0
相关,v,应计,v,7.832858445005564,0.0
本季,t,成本费用,n,8.651124141273616,0.0
周二,t,报收,v,12.174686097330632,0.0
年轻,a,得,ud,15.122218677436496,0.0
末,f,则,d,7.7509087484876265,0.0
为,p,88.6,m,3.6023367549390675,0.0
付费,v,游戏,n,-0.2524254368528981,0.0
恢复,v,扩张,v,7.948719993114363,0.0
约合,vn,7.910,m,8.070815499558678,0.0
业务,n,有,v,0.20443038325857293,0.0
需求,v,存在,v,8.17468609733063,0.0
创,n,公司,n,2.0408303505958396,0.0
增长,v,前景,n,2.279194964096395,0.0
传媒,n,高层,n,6.929573599494098,0.0
当,t,提供,v,8.141671040102667,0.0
投资,vn,订餐,n,10.805452287664911,0.0
于,p,1999,m,7.32039486135212,0.0
去年,t,业已,d,10.02870679151335,0.0
竞争对手,n,将,d,4.72133924115431,0.0
收,n,4290,m,6.522305835249366,0.0
419.1,m,百万元,m,11.681646086050515,0.0
上涨,v,2.8,m,6.842110758243759,0.0
包括,v,数据,n,1.782766297419334,0.0
投入,v,使得,v,6.688484220633243,0.0
盛大,b,代理,n,4.014954889253326,0.0
平台,n,获得,v,4.217100335716574,0.0
33.7,m,百万元,m,8.222214467413215,0.0
贡献,n,9.5,m,7.764666672818411,0.0
低于,v,此前,t,4.004668332985801,0.0
的,uj,303,m,3.0074538179048296,0.0
费用率,n,38.8,m,7.970296093773596,0.0
增,v,100.3,m,8.963789314832011,0.0
非常,d,热忱,n,13.64417138063185,0.0
由于,c,销售额,n,3.399411146266948,0.0
ADS,eng,摊薄,n,5.1501620192939175,0.0
国际,n,领先,n,6.407973159770371,0.0
改变,v,是,v,3.72061533135906,0.0
人民币,n,0.10,m,2.4101830581461385,0.0
游戏,n,改编自,nz,8.351200908133293,0.0
官方网站,n,已经,d,10.64417138063185,0.0
关键,n,进展,vn,8.47836248766177,0.0
增,v,6.3,m,5.571471892053251,0.0
增长,v,213.7,m,4.864157464817551,0.0
为,p,94.8,m,3.824729176275515,0.0
收,n,27.7,m,4.471679762179398,0.0
分众传媒,l,互联网,n,0.9224477553119916,0.0
概览,n,上半年,t,11.30021697941449,0.0
余楚媛,nr,表示,v,8.64186121994465,0.0
为,p,第二季度,mq,-5.485883605384013,0.0
2.048,m,亿美元,m,8.233475428538236,0.0
2.120,m,亿美元,m,8.233475428538236,0.0
第一季度,l,带来,v,0.37538948342037287,0.0
陈天桥,nr,出任,v,12.759648598051786,0.0
及,c,社区,n,3.2446058743502215,0.0
上述,b,调整,vn,5.166361232679698,0.0
就是,d,来自,v,6.5695495799222225,0.0
没有,v,出来,v,11.607645504606735,0.0
和,c,60.0,m,5.950505728013589,0.0
部分,n,城市,ns,4.983764014593278,0.0
07,m,年末,t,7.606518839152452,0.0
净利润,n,奇虎,nz,1.5540589609675612,0.0
工作室,n,及,c,6.244605874350222,0.0
增长,v,70.4,m,5.864157464817552,0.0
第二季度,mq,技术,n,1.3901421273386894,0.0
具,v,创新性,n,15.9295735994941,0.0
由于,c,总收入,n,-0.09335765624446213,0.0
显,v,着,uz,12.700754908998217,0.0
提高,v,用户量,n,8.413873761210056,0.0
在,p,同一天,d,7.713434043068964,0.0
冲,v,高,a,11.31486375537889,0.0
约合,vn,7700,m,4.748887404671316,0.0
5930,m,万美元,m,5.786987851137811,0.0
下降,v,5.8,m,4.207833545281051,0.0
四川,ns,发生,v,10.800290582549133,0.0
移动,vn,等,u,2.7738066610484453,0.0
消息,n,2011,m,-0.9128043687900471,0.0
数量,n,关,v,10.441733565671047,0.0
分析师,n,及,c,1.0666880821543787,0.0
498,m,万元,m,6.012015040983728,0.0
产品线,n,及,c,3.659643373629066,0.0
两个,m,星期,t,12.161389274717171,0.0
收为,v,1.256,m,7.508560743714873,0.0
收,n,82.2,m,7.007732662419608,0.0
扮演,v,更,d,11.271362116742305,0.0
0.92,m,美元,q,6.4711669862575665,0.0
32.57,m,万元,m,7.596977541704885,0.0
模式,n,初见成效,i,11.257148257522603,0.0
涨,n,5.57,m,11.952293675994182,0.0
服务项目,n,上,f,7.79258248741387,0.0
版权,n,和解,v,12.759648598051786,0.0
电视剧,n,收入,v,3.799646665983705,0.0
投资,vn,与,p,0.6008811434157073,0.0
技术,n,专长,n,12.285717409719375,0.0
市场,n,商业,n,2.8490058675821603,0.0
与,p,开发商,n,4.477074941801309,0.0
增,v,66.7,m,7.963789314832011,0.0
我们,r,服务,vn,-1.2856204704371161,0.0
以及,c,长期以来,l,7.658110571589725,0.0
下降,v,25.9,m,4.314748749197563,0.0
为,p,4560,m,3.0877635821093086,0.0
收入,v,翻倍,d,7.384609166704861,0.0
债务,n,转为,v,13.800290582549131,0.0
九成,m,刘伟,nr,12.800290582549131,0.0
酒店,n,产品,n,1.513039939294515,0.0
封闭式,n,Beta,eng,16.9295735994941,0.0
有,v,代理,n,4.719130548301862,0.0
增,v,42.5,m,7.64186121994465,0.0
为,p,44.74,m,3.0877635821093086,0.0
董事,n,离职,v,9.437720503164423,0.0
人民币,n,35.820,m,6.410183058146138,0.0
8.449,m,亿元,m,7.101437115299992,0.0
到,v,三,m,6.658986259046588,0.0
政策,n,环境,n,8.340858963911835,0.0
日,m,周三,t,5.979017702446587,0.0
等价物,l,大致,d,6.045403080385664,0.0
达,v,5.2,m,6.3043213777472245,0.0
其中,r,总收入,n,1.4340776675223457,0.0
于,p,3900,m,5.513039939294515,0.0
07,m,一季,m,8.243948759767743,0.0
870,m,百万元,m,6.774755490441994,0.0
不同寻常,i,的,uj,5.00745381790483,0.0
119.9,m,%,x,5.10700276854393,0.0
监管部门,n,审批,v,16.122218677436496,0.0
代理,n,该,r,4.439976477104792,0.0
控股,v,达成,v,9.607645504606737,0.0
23.25,m,%,x,5.10700276854393,0.0
了,ul,再,d,2.4188094315762076,0.0
毛利率,n,81,m,4.56920657926896,0.0
已,d,见成效,i,10.236086641994774,0.0
至于,p,新浪,nz,9.08095065906476,0.0
为,p,1.094,m,4.409691676996672,0.0
-,x,2.85,m,4.893829424372237,0.0
减少,v,27.4,m,5.512907999558642,0.0
6.8262,m,元,m,8.91415854710741,0.0
但,c,依然,d,5.709800048601225,0.0
由于,c,企业级,n,3.1024294085098165,0.0
营收,n,21.63,m,7.2174765484065535,0.0
25.63,m,%,x,5.10700276854393,0.0
是,v,高端,n,5.042543426246422,0.0
广大,a,忠实,a,13.759648598051786,0.0
三季度,mq,上升,v,1.5632513852482826,0.0
而,c,适时,ad,8.62123456935469,0.0
利润,n,或,c,1.7897824573430883,0.0
亏损,vn,0.07,m,5.232497440675077,0.0
人民币,n,4.835,m,6.410183058146138,0.0
增长,v,酒店,n,-2.4026290758773508,0.0
金融,n,分析师,n,7.844765211689737,0.0
总计,n,2580,m,8.220489786943755,0.0
达,v,4.52,m,7.666891457131934,0.0
突破,vn,5000,m,8.516474614578836,0.0
有,v,两万平方米,m,10.868877667806544,0.0
为,p,7020,m,2.824729176275515,0.0
293,m,%,x,3.1070027685439308,0.0
预订,v,间夜,b,4.2323345071336655,0.0
为,p,46.3,m,2.824729176275515,0.0
1369.4,m,万美元,m,5.786987851137811,0.0
詹姆斯,nr,-,x,7.2157575192596,0.0
只有,c,高级,b,12.174686097330632,0.0
之后,f,第二次,m,12.30021697941449,0.0
总营收,n,未,d,5.0387393501046525,0.0
人民币,n,8010,m,3.6028281360885344,0.0
为,p,金山,nr,-2.6182143195732133,0.0
暴跌,v,快讯,nz,10.289328663271752,0.0
APC,eng,增长,v,1.2791949640963949,0.0
第二季度,mq,推广,v,0.47175589289234143,0.0
的,uj,1106,m,3.132984699988689,0.0
12.2,m,亿,m,5.08016849854634,0.0
稳步,d,推出,v,7.390414788386067,0.0
293.57,m,%,x,5.10700276854393,0.0
增长,v,1.41,m,2.5422293699301886,0.0
为,p,1386,m,5.409691676996671,0.0
人民币,n,7.7,m,3.6028281360885344,0.0
收为,v,1.19,m,5.634091625798732,0.0
游戏,n,资源,n,3.4932199130057215,0.0
着,uz,企业,n,6.902013117245322,0.0
正,d,从,p,5.551007789493536,0.0
净亏,n,3.4,m,14.9295735994941,0.0
北京,ns,华谊,nz,10.437720503164424,0.0
客户,n,流失,v,8.47836248766177,0.0
宣布,v,股票,n,3.3918091946442814,0.0
一款,m,名为,v,13.885179480135644,0.0
正如,v,原先,d,13.681646086050515,0.0
增幅,n,持续,vd,4.49234169845462,0.0
深化,j,海外,s,10.164702008758008,0.0
占到,v,了,ul,4.6114545095186035,0.0
抵消,v,的,uj,-2.6072560262103783,0.0
游戏,n,增长速度,n,2.084414367438393,0.0
百度,n,增速,v,2.4013331738427697,0.0
7001,m,万美元,m,5.786987851137811,0.0
广度,ns,和,c,6.950505728013589,0.0
虽然,c,社区,n,8.35971799116315,0.0
了,ul,高质量,n,3.6114545095186035,0.0
96.48,m,亿,m,9.402096593433702,0.0
上周五,n,持平,n,10.61216098572923,0.0
价值,n,分别,d,3.394966742187226,0.0
1.141,m,亿美元,m,6.648512927817079,0.0
5,m,成,n,7.2174765484065535,0.0
1.139,m,亿美元,m,6.911547333650874,0.0
开发人员,n,而,c,4.866347067191223,0.0
和,c,8.01,m,5.365543227292433,0.0
即时通讯,nz,注册,v,10.144938753936579,0.0
面对,v,不,d,6.548301043782312,0.0
合约,n,并,c,8.31486375537889,0.0
为,p,21.6,m,0.8861297209396582,0.0
4294,m,万美元,m,5.786987851137811,0.0
营收,n,9150,m,6.732049721236311,0.0
比重,n,变化,vn,4.900545252517138,0.0
进行,v,购买,v,5.640419245770742,0.0
董事,n,的,uj,-0.5775086828163267,0.0
:,x,00700,m,5.388961191244569,0.0
降,v,5.4,m,8.100643771842613,0.0
马太效应,n,帮助,v,14.84211075824376,0.0
和,c,100,m,-0.026774195486328086,0.0
重要,a,业务,n,2.4071453198185546,0.0
该,r,会计准则,n,0.6210568034142653,0.0
凭证,n,相当于,v,6.500755459514518,0.0
并,c,决定,v,6.227400914128551,0.0
品牌,n,认可度,n,11.445757822229842,0.0
巩固,v,去年,t,6.384850601738625,0.0
顾客,nr,能够,v,9.963789314832011,0.0
及,c,土豆网,nz,6.566533969237584,0.0
86.14,m,亿元,m,7.1014371152999916,0.0
收入,v,8.47,m,5.062681071817499,0.0
的,uj,热烈,a,3.0074538179048296,0.0
的,uj,财务顾问,l,5.00745381790483,0.0
工作,vn,有,v,6.620950154362959,0.0
4.37,m,亿元,m,6.5164746145788355,0.0
62.51,m,亿元,m,6.5164746145788355,0.0
科技,n,专访,v,8.584168352776304,0.0
为,p,8020,m,4.409691676996672,0.0
下滑,v,14.65,m,9.091945666322694,0.0
出现,v,双双,m,7.992935660491528,0.0
减少,v,69.6,m,5.360904906113593,0.0
古代,t,经典,n,16.607645504606737,0.0
3,x,季度,n,0.6740654900196694,0.0
在,p,6600,m,4.543509041626652,0.0
188.62,m,%,x,5.10700276854393,0.0
500,m,多家,m,8.855432136741594,0.0
的,uj,40.1,m,3.4224913171836735,0.0
收为,v,5542.8,m,9.09352324443603,0.0
房间,n,供应量,n,14.9295735994941,0.0
为,p,50.344,m,5.409691676996671,0.0
租用,v,了,ul,7.418809431576208,0.0
服务,vn,实现,v,0.9134508766647129,0.0
遭受,v,运营商,n,10.852758002443268,0.0
现金,n,净流量,n,8.995882944541865,0.0
是,v,第二,m,3.972154098355025,0.0
支持,v,我们,r,3.886973717781181,0.0
之前,f,对,p,3.8665999275968983,0.0
四季,m,运营,vn,3.4924067330542607,0.0
开始,v,采用,v,5.682239421465369,0.0
亿,m,1310,m,5.817134092712547,0.0
为,p,5420,m,3.0877635821093086,0.0
时间,n,降低,v,3.435593095423666,0.0
广,a,的,uj,1.2000988958472254,0.0
结束,v,与,p,3.2655708366075973,0.0
人民币,n,7340,m,3.240258056703826,0.0
到,v,140,m,3.8747149501020246,0.0
均,d,表现,v,3.4480264092908106,0.0
与,p,分析师,n,1.2251565681616894,0.0
新,a,子类,n,9.76970226271571,0.0
下降,v,8.4,m,4.927725626088317,0.0
於,nr,授,vg,17.9295735994941,0.0
393.9,m,百万元,m,11.681646086050515,0.0
消费,vn,增长,v,-1.2338746181429758,0.0
这些,r,宝贵,nr,12.421778959295402,0.0
业务收入,n,680,m,5.826285791082077,0.0
对于,p,内容,n,4.911634297998281,0.0
被,p,近期,t,5.521774749272124,0.0
目前,t,包括,v,3.812823531275514,0.0
内,n,可以,c,6.455867849874683,0.0
已经,d,为,p,-1.2907480411444212,0.0
30.82,m,%,x,5.107002768543931,0.0
内容,n,组合,v,5.685358442174605,0.0
人民币,n,37.79,m,6.410183058146138,0.0
2.38,m,亿元,m,5.5164746145788355,0.0
50696,m,个,m,10.236086641994774,0.0
我们,r,融合,vn,6.7938643133897,0.0
为,p,13.21,m,3.824729176275515,0.0
208.185,m,亿元,m,7.1014371152999916,0.0
拒评,v,股价,n,10.169685416272264,0.0
的,uj,1.553,m,5.00745381790483,0.0
净亏损,vn,569.2,m,9.53296881831224,0.0
1.94,m,美元,q,6.149238891370204,0.0
免费视频,n,游戏,n,8.351200908133293,0.0
收入,v,22,m,0.053692288590244074,0.0
下降,v,-,x,-2.698627612895843,0.0
有,v,大型,b,5.546949572919182,0.0
我们,r,投资,vn,0.6697430015605114,0.0
美元,q,存款,n,3.011735367620269,0.0
3.098,m,亿美元,m,8.233475428538236,0.0
收为,v,22.817,m,9.09352324443603,0.0
取得,v,稳健,a,7.901667602924214,0.0
CollinsStewart,eng,维持,v,11.998836261931212,0.0
开始,v,转型,n,6.9232475209691655,0.0
同期,b,21,m,1.1227974414252522,0.0
目前,t,人人,n,5.2829023941123205,0.0
窄,a,78.5,m,11.27852190831517,0.0
增长速度,n,连续,a,5.5859714617483665,0.0
减少,v,31.1,m,6.0978705002798,0.0
赛迪网,nz,讯,ng,8.120609424574837,0.0
利润率,n,38,m,2.4932199130057215,0.0
收,n,&#,x,0.9677169835717293,0.0
定期存款,l,总额,n,6.077239167507668,0.0
278,m,个,m,7.914158547107411,0.0
5.335,m,亿美元,m,8.233475428538236,0.0
35.7,m,％,x,5.873952224712392,0.0
回购,v,总值,n,4.855432136741593,0.0
为,p,369.5,m,5.409691676996671,0.0
批准,v,1.5,m,8.836816458574246,0.0
降为,v,70,m,10.181380749904639,0.0
的,uj,1.961,m,2.685525723017467,0.0
营业额,n,为,p,2.8861297209396586,0.0
导航页,n,金山,nr,10.901667602924215,0.0
跌幅,n,6.7,m,10.662787058799198,0.0
执行,v,精心,n,13.503308844792,0.0
498,m,名,n,11.004761095888318,0.0
季度,n,为少,r,8.346490831991165,0.0
没有,v,新,a,3.4477741678283467,0.0
下降,v,16.6,m,3.845263465896343,0.0
86.6,m,％,x,5.873952224712392,0.0
888,m,万美元,m,2.979632929080206,0.0
如果,c,内容,n,6.63955475256148,0.0
巩固,v,技术,n,7.64186121994465,0.0
延长,v,期限,n,11.537256176715339,0.0
对,p,广告主,n,5.710480725679616,0.0
收为,v,1.76,m,5.634091625798732,0.0
文,n,提出,v,10.589723596609474,0.0
保持稳定,n,巨人,n,6.6203814925341975,0.0
下午,t,6,m,3.992383714412913,0.0
了,ul,62,m,2.6374497180515477,0.0
中国,ns,业务,n,-0.9271664995246398,0.0
日及,ns,2011,m,7.9009768224269905,0.0
调整,vn,将,d,0.41755849297720704,0.0
收入,v,10.4,m,3.2146841652625486,0.0
营收,n,2.17,m,6.2174765484065535,0.0
为,p,9750,m,3.4096916769966716,0.0
44.48,m,亿元,m,5.5164746145788355,0.0
有限公司,n,其余,r,10.013694220658326,0.0
到,v,5600,m,5.658986259046587,0.0
job,eng,高层,n,11.344611098772942,0.0
1.375,m,亿元,m,6.101437115299991,0.0
和,c,6170,m,5.365543227292433,0.0
成本,n,990,m,4.991648114631068,0.0
7890,m,万元,m,7.596977541704885,0.0
BreanMurray,eng,重申,v,16.34461109877294,0.0
美元,q,130,m,2.8862044855364095,0.0
是,v,大幅,d,0.5765689617423536,0.0
2.527,m,亿美元,m,8.233475428538236,0.0
销售,vn,人数,n,2.264251562985312,0.0
签订协议,n,-,x,6.2157575192596,0.0
势头,n,带向,v,13.975377289107223,0.0
开始,v,不断,d,5.23293202010178,0.0
管理费用,n,650,m,6.096683585329357,0.0
53,m,％,x,2.6895276535749635,0.0
利润率,n,低,a,3.567766866370776,0.0
创下,v,公司,n,3.718902255708477,0.0
降,v,5.6,m,8.544250423318227,0.0
第一季度,l,WAP,eng,3.673070032061058,0.0
调低,v,了,ul,1.86422057989857,0.0
第四季度,l,邮箱,n,2.4299923885321695,0.0
等,u,多款,m,5.396243867188264,0.0
为,p,2.745,m,5.409691676996671,0.0
为,p,4.447,m,5.409691676996671,0.0
无,v,上限,v,9.700754908998217,0.0
美元,q,增值,v,-0.9466855286283323,0.0
同比,j,7,x,-0.46165320494365925,0.0
177,m,万,m,6.638978711411528,0.0
短期内,n,的,uj,2.00745381790483,0.0
了,ul,198.4,m,6.418809431576208,0.0
去年同期,n,64,m,1.7401736976447433,0.0
到,v,0.71,m,7.243948759767743,0.0
净亏损,vn,2480,m,6.5329688183122405,0.0
全年,m,毛利,nr,2.0268569783096173,0.0
一些,m,措词,n,11.800290582549131,0.0
也就是说,l,涉及,v,15.122218677436496,0.0
外挂,n,力度,n,11.115792408277061,0.0
19.46,m,元,m,8.91415854710741,0.0
为,p,4632,m,5.409691676996671,0.0
利润,n,2610,m,5.374744958064245,0.0
毛利,nr,9662.8,m,10.371152886225435,0.0
人民币,n,略微,d,1.7663268683714137,0.0
Q4,eng,加速,v,7.308437486219457,0.0
费,v,明显,a,7.893399986940613,0.0
符合,v,惯例,n,13.759648598051786,0.0
0168.,m,hk,eng,15.9295735994941,0.0
机构,n,获得,v,6.634952850602471,0.0
人民币,n,2.84,m,3.8252205574249825,0.0
为,p,7.458,m,5.409691676996671,0.0
的,uj,不懈,a,4.00745381790483,0.0
下降,v,14.0,m,4.845263465896343,0.0
2.149,m,亿元,m,6.101437115299991,0.0
以及,c,原有,v,4.995145558867295,0.0
收,v,6,m,3.774478684068779,0.0
和,c,84.2,m,4.950505728013589,0.0
致使,v,市场推广,n,8.800290582549133,0.0
第四季度,l,加推,v,7.921845484861845,0.0
5920,m,-,x,6.2157575192596,0.0
移除,v,付费,v,10.325947254507907,0.0
的,uj,2040,m,3.4224913171836735,0.0
32.811,m,亿元,m,7.1014371152999916,0.0
百度,n,直销,v,6.695953922734397,0.0
增长,v,63.9,m,4.279194964096395,0.0
运营商,n,合作伙伴,n,7.682833001000955,0.0
可能,v,做,v,8.300216979414488,0.0
本季度,n,又,d,2.261713620628616,0.0
935,m,万美元,m,5.786987851137811,0.0
不过,c,随着,p,8.461968049411102,0.0
上升,v,36.5,m,6.17468609733063,0.0
讨论,v,一季度,mq,3.989948475298866,0.0
当地,s,玩家,n,9.066936241935304,0.0
财务数据,n,细分,n,10.236086641994774,0.0
美元,q,820,m,3.8273107964828412,0.0
增长,v,100.3,m,4.864157464817551,0.0
增长幅度,l,是因为,c,7.2054861377001105,0.0
你们,r,是否,v,11.759648598051786,0.0
不景气,a,影响,vn,10.394298222873296,0.0
归于,v,金融界,n,8.2982449444582,0.0
毛利率,n,83.4,m,6.23217159199139,0.0
为,p,4220,m,2.824729176275515,0.0
包括,v,社交,n,4.405399216106545,0.0
因,c,2012,m,3.330067502191,0.0
提升,v,巨人,n,2.1927753197522986,0.0
营销,vn,副总裁,n,6.094312680866611,0.0
214.1,m,%,x,5.10700276854393,0.0
金额,n,总计,n,7.346020669027614,0.0
减少,v,商业化,n,3.875478078943351,0.0
了,ul,首款,n,5.096881336688845,0.0
该游戏,n,此前,t,7.784278264560502,0.0
达,v,1.755,m,8.474246379189537,0.0
7.14,m,%,x,4.107002768543931,0.0
的,uj,分类,n,2.4224913171836735,0.0
呈现出,v,逐年,d,10.470141980856802,0.0
租赁,v,与,p,5.555077453802583,0.0
为,p,30.68,m,4.409691676996672,0.0
这,r,受益,v,5.060268941108635,0.0
上市,ns,前,f,5.9453331742639755,0.0
之前,f,收益,n,3.1510344050318175,0.0
亿美元,m,创新,v,2.2561955050383187,0.0
纳税,n,申报,nz,17.9295735994941,0.0
现有,b,麦网,nz,11.589723596609474,0.0
增长,v,53.0,m,5.864157464817552,0.0
净收入,n,6830,m,10.580845445263021,0.0
实现,v,中国移动,nt,6.185580738433924,0.0
增长,v,产生,n,-1.8011784523676255,0.0
中国,ns,四大名著,i,9.737280785023332,0.0
人民币,n,1.01,m,2.162255544702553,0.0
第三季度,mq,取消,v,5.284590744265089,0.0
1774,m,元,m,8.91415854710741,0.0
1.102,m,亿美元,m,7.233475428538235,0.0
得益于,v,其他,r,2.6690399237105105,0.0
合并,v,导致,v,5.601693532606446,0.0
达,v,3.76,m,8.474246379189537,0.0
其他,r,杂项费用,n,10.184739761994553,0.0
加上,v,产品开发,l,9.396243867188264,0.0
涨幅,n,收于,v,12.344611098772944,0.0
腾讯,nz,进一步,d,3.247648928610335,0.0
年底,t,对于,p,8.394298222873296,0.0
第二季度,mq,阿里巴巴,nrt,0.17601732198584186,0.0
人民币,n,1.34,m,2.709743340005046,0.0
万美元,m,主要,b,-5.535503686459658,0.0
下降,v,财报,n,-2.2805804670818524,0.0
为,p,1.974,m,5.409691676996671,0.0
一,m,原因,n,2.6704188306272587,0.0
项目,n,涵盖,v,13.2016531449309,0.0
增长,v,92.2,m,4.864157464817551,0.0
-,x,1208,m,7.2157575192596,0.0
2.843,m,亿元,m,7.1014371152999916,0.0
63,m,元,m,3.106803625049807,0.0
全部,n,股份,n,6.501475187661593,0.0
扩大,v,战果,n,11.406011643437086,0.0
为,p,高新技术,n,2.602336754939067,0.0
定位,n,面向,n,15.344611098772942,0.0
收入,v,又,d,1.1751558010759113,0.0
亿,m,1500,m,3.87853463737669,0.0
且,zg,获得,v,6.680756540215596,0.0
的,uj,317,m,1.5480221992675323,0.0
8.67,m,％,x,7.748421342628532,0.0
达到,v,900,m,4.007314415855517,0.0
通过,p,和,c,-0.9503610799671602,0.0
比例,n,转发给,v,9.795147279273174,0.0
为,p,23.05,m,4.409691676996672,0.0
同名,n,热门,n,17.9295735994941,0.0
本次,r,有,v,6.8688776678065455,0.0
从,p,我们,r,0.3221890989976545,0.0
2500,m,左右,m,9.762155453662361,0.0
1.137,m,亿元,m,4.779509020412629,0.0
新,a,广告,n,-0.4262850353127994,0.0
就,d,和,c,1.66510350915134,0.0
严厉打击,i,打钱,v,18.929573599494102,0.0
为,p,5380,m,1.8247291762755147,0.0
免费,vn,和,c,-0.8886980600833555,0.0
增至,v,48.6,m,10.2016531449309,0.0
收,n,1.25,m,5.937343334528211,0.0
快,a,时尚,n,12.02268300388558,0.0
携程,n,2008,m,1.4760376939990782,0.0
33.106,m,亿元,m,7.1014371152999916,0.0
日,m,在线,b,-1.2498009880492946,0.0
都,d,分红,v,8.27672862649212,0.0
及,c,初步,d,3.208981964619501,0.0
鲜有,v,竞争对手,n,14.9295735994941,0.0
下滑,v,41.3,m,5.770017571435331,0.0
8900,m,万美元,m,4.202025350416655,0.0
